x,y
301.0,401.0
364.27876096865396,376.6044443118978
398.4807753012208,317.364817766693
386.6025403784439,250.00000000000003
334.2020143325669,206.03073792140918
265.7979856674331,206.03073792140916
213.39745962155615,249.99999999999994
201.51922469877917,317.364817766693
235.72123903134604,376.6044443118978
300.0,400.0
364.27876096865396,376.6044443118978
398.4807753012208,317.364817766693
386.6025403784439,250.00000000000009
334.2020143325669,206.03073792140916
265.7979856674332,206.03073792140913
213.39745962155612,250.0
201.51922469877917,317.36481776669297
235.72123903134596,376.60444431189774
299.99999999999994,400.0
364.27876096865384,376.6044443118979
398.4807753012208,317.3648177666931
386.6025403784439,250.0000000000001
334.2020143325669,206.03073792140918
265.79798566743324,206.03073792140913
213.3974596215562,249.99999999999983
201.51922469877917,317.3648177666928
235.72123903134607,376.6044443118978
299.99999999999994,400.0
364.27876096865384,376.6044443118979
398.4807753012208,317.36481776669325
386.60254037844385,249.99999999999997
334.20201433256693,206.03073792140918
265.79798566743324,206.03073792140913
213.39745962155624,249.99999999999983
201.51922469877914,317.36481776669274
235.72123903134604,376.6044443118978
299.9999999999999,400.0
364.2787609686538,376.6044443118979
398.4807753012208,317.3648177666933
386.60254037844385,250.0
334.20201433256693,206.03073792140918
265.7979856674333,206.03073792140913
213.39745962155627,249.9999999999998
201.51922469877914,317.36481776669274
235.72123903134604,376.6044443118978
299.9999999999999,400.0
364.2787609686538,376.60444431189796
398.4807753012208,317.3648177666933
386.602540378444,250.0000000000003
334.2020143325673,206.0307379214093
265.79798566743364,206.03073792140898
213.3974596215561,250.00000000000009
201.5192246987792,317.364817766693
235.72123903134602,376.60444431189774
299.99999999999983,400.0
364.2787609686537,376.60444431189796
398.4807753012208,317.36481776669336
386.6025403784441,250.00000000000034
334.20201433256733,206.03073792140933
265.79798566743364,206.03073792140896
213.3974596215561,250.00000000000006
201.5192246987792,317.364817766693
235.721239031346,376.60444431189774
299.99999999999983,400.0
364.2787609686537,376.60444431189796
398.4807753012208,317.36481776669336
386.6025403784441,250.00000000000037
334.20201433256733,206.03073792140935
265.7979856674337,206.03073792140896
213.3974596215561,250.00000000000006
201.51922469877917,317.364817766693
235.721239031346,376.60444431189774
299.99999999999983,400.0
364.2787609686537,376.60444431189796
398.4807753012208,317.36481776669336
386.6025403784441,250.0000000000004
334.2020143325674,206.03073792140935
265.7979856674337,206.03073792140896
213.39745962155612,250.00000000000003
201.51922469877917,317.36481776669297
235.72123903134596,376.60444431189774
299.9999999999998,400.0
364.2787609686537,376.604444311898
398.4807753012207,317.3648177666934
386.6025403784441,250.0000000000004
334.2020143325674,206.03073792140935
265.7979856674337,206.03073792140896
213.39745962155615,250.0
201.51922469877917,317.36481776669297
235.72123903134593,376.60444431189774
299.9999999999998,400.0
364.27876096865367,376.604444311898
398.4807753012207,317.3648177666934
386.60254037844413,250.00000000000043
334.2020143325674,206.03073792140935
265.79798566743375,206.03073792140893
213.3974596215565,249.99999999999937
201.51922469877906,317.3648177666922
235.72123903134536,376.6044443118972
299.99999999999903,400.0
364.2787609686531,376.6044443118985
398.4807753012209,317.36481776669274
386.6025403784438,249.99999999999983
